stn;time;gre000m0;hto000m0;nto000m0;prestam0;tre200m0;tre200mn;ure200m0;rre150m0;sre000m0;tre200mx
CDF;197304;-;13;68;900.4;2.0;-9.0;77.4;111.6;9018;16.0
CDF;197305;-;0;60;904.2;10.6;1.0;73.5;131.2;11574;21.2
CDF;197306;-;0;54;906.3;13.3;3.8;77.0;210.4;11796;25.5
CDF;197307;-;0;61;904.9;14.0;5.6;78.4;141.6;10488;26.2
CDF;197308;-;0;48;907.9;16.3;4.5;76.0;58.9;12180;27.2
CDF;197309;-;0;44;905.7;12.5;-0.1;75.2;56.5;11376;27.0
CDF;197310;-;0;56;905.1;6.5;-4.5;76.7;85.2;7686;20.8
CDF;197311;-;2;56;907.4;2.8;-12.5;80.8;175.9;6432;16.0
CDF;197312;-;22;69;901.2;-1.3;-16.0;78.9;91.2;3366;8.3
CDF;197401;-;8;64;907.9;2.2;-6.0;78.5;64.7;4458;12.4
CDF;197402;-;4;75;896.1;1.1;-5.2;78.5;113.8;3426;12.0
CDF;197403;-;5;80;899.4;4.4;-6.0;76.4;69.3;4410;19.5
CDF;197404;-;0;49;897.7;5.7;-3.5;72.8;31.4;11388;17.0
CDF;197405;-;0;63;901.0;8.1;-1.5;74.8;136.5;8718;20.0
CDF;197406;-;0;63;902.7;11.2;1.4;73.6;114.3;11514;23.5
CDF;197407;-;0;54;906.5;13.5;3.0;70.6;65.0;14910;26.0
CDF;197408;-;0;51;905.6;15.2;3.0;72.1;65.7;12036;31.2
CDF;197409;-;0;69;895.0;10.6;-1.9;72.1;146.3;7596;22.4
CDF;197410;-;8;89;890.9;0.6;-4.9;84.3;250.2;1314;8.2
CDF;197411;-;16;78;893.6;1.7;-6.4;85.6;164.5;2526;11.7
CDF;197412;-;8;76;901.1;1.0;-9.4;84.1;138.7;2802;8.4
CDF;197501;-;4;63;897.3;2.0;-6.4;73.7;150.1;5328;9.7
CDF;197502;-;2;40;898.2;1.1;-10.3;65.0;19.4;9894;11.9
CDF;197503;-;7;85;886.0;-0.3;-7.9;86.4;91.2;2538;10.2
CDF;197504;-;10;64;893.1;4.1;-7.0;77.1;84.5;9054;17.0
CDF;197505;-;0;71;893.4;8.2;-1.9;79.0;87.3;8400;23.0
CDF;197506;-;0;66;896.5;10.6;0.0;77.2;144.9;11190;23.0
CDF;197507;-;0;55;898.2;14.8;3.8;71.3;77.6;14988;28.0
CDF;197508;-;0;63;898.5;15.0;5.4;75.7;162.3;10992;26.9
CDF;197509;-;0;74;897.9;12.9;4.7;75.8;155.7;6750;27.1
CDF;197510;-;0;56;898.7;5.9;-1.7;75.6;47.1;8550;17.9
CDF;197511;-;2;76;893.7;1.4;-9.0;85.3;176.7;3138;11.9
CDF;197512;-;9;51;898.1;-1.5;-13.1;79.3;48.6;5496;13.5
CDF;197601;-;10;74;896.7;-1.5;-15.0;79.4;95.0;3012;12.4
CDF;197602;-;39;56;895.2;1.1;-7.0;77.0;60.9;7890;11.3
CDF;197603;-;25;53;894.0;0.6;-11.7;75.2;45.0;10206;13.0
CDF;197604;-;1;50;892.0;4.6;-5.7;73.3;28.7;13086;16.8
CDF;197605;-;0;59;895.8;10.2;-1.6;71.4;68.7;13026;22.0
CDF;197606;-;0;40;899.8;15.5;1.9;62.5;29.6;19716;27.2
CDF;197607;-;0;64;897.8;15.4;5.6;73.7;144.7;12138;26.9
CDF;197608;-;0;54;898.6;13.2;3.4;72.1;85.3;14070;23.3
CDF;197609;-;0;65;895.4;9.7;1.8;80.0;112.8;6930;21.1
CDF;197610;-;0;70;889.0;7.9;-3.9;77.4;80.1;6264;21.3
CDF;197611;-;2;80;894.5;1.0;-6.8;81.6;106.3;3636;11.5
CDF;197612;-;23;65;887.1;-1.7;-13.5;78.6;151.6;3582;9.0
CDF;197701;-;39;81;889.9;-1.1;-9.7;83.4;169.8;2760;6.7
CDF;197702;-;9;81;889.0;1.5;-11.4;77.9;243.1;2814;11.0
CDF;197703;-;1;74;896.6;4.3;-8.5;68.6;67.7;7026;16.3
CDF;197704;-;3;84;893.4;2.7;-8.3;85.4;190.0;5640;19.0
CDF;197705;-;0;74;893.1;8.2;-3.3;81.0;101.2;9510;20.5
CDF;197706;-;0;75;894.8;11.4;2.4;80.7;205.2;8772;24.7
CDF;197707;-;0;66;895.7;13.6;3.6;80.3;230.2;11700;24.4
CDF;197708;-;0;69;894.8;12.7;4.6;83.6;143.0;10272;22.4
CDF;197709;-;0;54;900.9;9.8;-2.2;82.7;30.4;10368;22.6
CDF;197710;-;0;58;898.0;9.4;-1.2;78.8;97.5;8646;19.2
CDF;197711;-;14;76;892.2;1.5;-11.7;87.4;173.3;3372;18.9
CDF;197712;-;19;58;896.6;1.2;-9.8;75.5;133.9;5400;11.7
CDF;197801;-;41;79;889.5;-2.1;-10.5;88.3;139.1;2430;8.2
CDF;197802;-;113;83;884.5;-1.3;-13.2;86.2;194.8;2910;13.2
CDF;197803;-;24;81;892.0;1.6;-7.6;81.0;186.4;4476;13.5
CDF;197804;-;2;74;887.6;3.0;-7.4;81.2;93.9;7122;12.5
CDF;197805;-;0;79;892.8;7.5;-0.1;80.8;139.0;7404;18.0
CDF;197806;-;0;70;895.2;10.9;0.3;74.8;118.3;10536;22.4
CDF;197807;-;0;68;897.7;13.2;4.4;82.3;154.9;9738;25.2
CDF;197808;-;0;59;898.7;12.6;3.3;82.9;159.5;12732;23.1
CDF;197809;-;0;51;899.5;10.5;0.7;82.4;97.4;12078;22.2
CDF;197810;-;0;53;900.2;7.0;-1.1;82.0;41.4;10188;21.3
CDF;197811;-;2;36;902.7;3.0;-9.2;74.8;12.9;10158;15.3
CDF;197812;-;7;70;885.6;1.2;-10.6;81.3;163.6;3774;13.7
CDF;197901;-;27;73;888.4;-4.0;-19.6;85.9;162.6;3006;7.1
CDF;197902;-;6;81;886.4;-0.4;-10.8;87.6;132.2;4236;7.4
CDF;197903;-;2;85;888.0;1.7;-6.8;88.8;192.6;2970;11.8
CDF;197904;-;3;79;890.2;2.6;-7.8;81.4;98.0;6312;14.8
CDF;197905;-;1;66;896.1;8.7;-6.4;72.1;115.6;11154;23.7
CDF;197906;-;0;70;898.3;12.8;2.0;83.5;130.8;10788;22.7
CDF;197907;-;0;61;900.2;13.8;2.9;77.2;84.1;14238;26.2
CDF;197908;-;0;68;896.5;12.4;3.3;82.4;153.0;10650;24.7
CDF;197909;-;0;54;899.7;11.3;0.0;84.0;56.5;10698;22.8
CDF;197910;-;0;68;892.8;9.1;0.9;82.1;94.5;6636;22.8
CDF;197911;-;5;68;894.5;1.3;-8.0;85.5;183.6;3852;17.7
CDF;197912;-;10;80;892.7;1.1;-7.7;86.6;186.4;2502;15.0
CDF;198001;-;56;68;896.4;-3.9;-16.3;85.1;122.2;4266;6.4
CDF;198002;-;20;59;902.2;0.6;-8.8;80.8;101.8;7530;9.9
CDF;198003;-;12;76;893.1;1.2;-8.9;82.3;98.2;4962;13.4
CDF;198004;-;6;78;899.5;2.0;-5.8;80.8;101.7;5430;13.8
CDF;198005;-;0;71;895.8;7.2;-2.5;75.6;156.3;7098;19.0
CDF;198006;-;0;80;899.7;10.2;1.0;79.0;252.7;4488;23.0
CDF;198007;-;0;71;900.4;11.8;0.0;76.9;187.2;6582;26.1
CDF;198008;-;0;56;903.4;14.1;1.4;76.5;96.8;10242;28.3
CDF;198009;-;0;40;905.6;11.8;2.4;76.1;77.3;13566;23.9
CDF;198010;-;0;66;897.6;5.7;-5.5;81.7;172.5;7416;20.2
CDF;198011;-;3;69;898.4;0.4;-14.6;81.7;67.5;5460;16.7
CDF;198012;-;61;68;901.8;-3.8;-19.2;84.3;121.1;5568;6.0
CDF;198101;56;139;69;902.7;-4.8;-19.2;86.1;137.8;5321;5.0
CDF;198102;101;133;54;899.7;-4.7;-19.5;81.4;57.5;7495;8.6
CDF;198103;112;58;83;895.8;3.2;-11.9;82.7;165.0;4573;15.3
CDF;198104;171;0;66;899.2;6.0;-5.5;76.4;35.1;9558;18.1
CDF;198105;164;1;79;897.3;8.2;-0.6;79.2;142.3;5987;22.1
CDF;198106;208;0;64;903.1;11.5;-0.4;77.5;75.5;8442;24.7
CDF;198107;167;0;74;903.7;12.7;1.4;82.2;141.3;7020;27.8
CDF;198108;214;0;49;904.6;14.1;1.1;78.5;43.2;13701;27.4
CDF;198109;120;0;70;902.0;11.6;-0.9;83.7;138.6;5937;22.2
CDF;198110;72;1;78;898.4;6.5;-4.0;85.3;229.0;3532;21.0
CDF;198111;70;3;48;907.1;1.7;-11.5;82.5;96.6;8673;19.2
CDF;198112;36;73;89;886.7;-1.7;-22.4;89.3;254.6;2167;7.8
CDF;198201;48;32;73;900.8;0.2;-11.6;88.0;143.1;4823;11.8
CDF;198202;92;21;55;900.7;-0.8;-18.1;82.6;31.4;7798;10.6
CDF;198203;124;27;74;899.6;0.2;-11.5;81.4;110.6;6148;10.8
CDF;198204;215;6;49;899.7;3.7;-6.1;72.0;40.1;13782;15.3
CDF;198205;206;0;56;903.5;9.2;-2.6;75.4;132.2;10613;21.5
CDF;198206;195;0;69;901.9;12.8;3.1;81.4;195.6;7691;24.6
CDF;198207;220;0;54;903.5;16.1;4.3;75.7;195.3;11897;28.2
CDF;198208;173;0;65;902.7;13.5;1.8;81.4;129.6;8897;25.9
CDF;198209;145;0;51;904.3;13.0;1.6;80.4;77.6;10534;25.7
CDF;198210;80;0;69;898.1;6.7;-1.8;84.5;166.9;5395;18.3
CDF;198211;58;2;58;900.3;3.6;-7.9;81.3;116.6;5933;16.2
CDF;198212;38;5;70;898.4;-0.1;-11.7;86.5;167.6;3797;9.1
CDF;198301;48;6;65;910.2;-0.1;-13.6;85.0;159.1;4617;12.0
CDF;198302;87;36;60;897.7;-4.0;-16.9;83.1;83.6;5444;7.6
CDF;198303;128;9;59;900.6;1.4;-11.7;82.2;83.8;8300;13.6
CDF;198304;146;3;81;894.7;5.0;-5.9;78.4;151.8;4741;16.7
CDF;198305;139;0;81;896.0;6.5;-0.2;82.6;306.3;4151;21.1
CDF;198306;222;0;59;904.4;13.0;1.5;76.0;97.1;8968;25.6
CDF;198307;265;0;26;904.2;18.9;3.0;66.8;77.2;17325;33.6
CDF;198308;174;0;58;903.3;14.4;3.5;78.4;174.8;8752;24.4
CDF;198309;146;0;51;903.4;11.7;2.4;78.6;169.8;10057;24.1
CDF;198310;97;0;54;906.3;7.0;-4.2;79.3;78.7;8522;22.6
CDF;198311;74;0;36;900.6;2.0;-8.6;81.2;161.4;10189;16.6
CDF;198312;49;3;51;900.0;-0.4;-11.9;78.6;87.7;6832;14.4
CDF;198401;40;34;79;897.2;-1.6;-17.2;86.0;177.7;2348;8.9
CDF;198402;81;92;66;900.1;-3.4;-16.7;84.2;133.6;5967;3.7
CDF;198403;154;107;48;896.1;-1.5;-18.2;78.3;62.1;10221;8.0
CDF;198404;201;52;53;899.1;3.3;-10.3;74.0;27.9;11775;18.8
CDF;198405;133;0;85;892.2;5.7;-2.5;83.4;160.4;3695;16.4
CDF;198406;226;0;59;901.9;11.1;0.3;76.4;77.2;11211;23.9
CDF;198407;245;0;46;904.4;14.4;0.8;70.7;61.7;14753;29.9
CDF;198408;174;0;54;902.9;13.6;4.9;77.2;59.3;10151;27.3
CDF;198409;113;0;75;898.0;9.5;0.8;83.0;225.1;5680;25.6
CDF;198410;93;0;58;902.4;7.7;-2.4;77.8;111.1;8428;18.2
CDF;198411;55;0;64;895.1;5.2;-4.0;78.8;91.7;6059;19.3
CDF;198412;44;2;63;903.3;0.2;-12.3;83.1;87.5;6236;13.1
CDF;198501;53;31;70;891.8;-7.2;-29.9;85.1;96.2;4877;5.8
CDF;198502;87;13;60;899.8;-0.9;-14.1;76.0;73.8;6619;11.0
CDF;198503;123;21;73;895.5;-0.2;-12.8;79.3;66.1;6239;12.8
CDF;198504;170;2;66;896.7;5.0;-6.1;74.3;138.6;8659;18.8
CDF;198505;161;0;76;895.9;8.5;-3.6;79.7;234.1;6004;21.6
CDF;198506;210;0;70;900.5;10.7;0.5;75.1;145.8;8400;22.5
CDF;198507;236;0;49;903.8;15.6;4.4;72.5;98.1;13645;29.5
CDF;198508;211;0;48;903.0;13.9;4.4;71.7;106.5;13812;27.7
CDF;198509;176;0;34;906.5;12.3;1.2;73.6;70.7;15350;23.1
CDF;198510;121;0;34;906.3;8.1;-6.9;72.2;12.5;13111;23.1
CDF;198511;47;6;80;895.7;-1.7;-13.7;86.5;76.1;3561;15.1
CDF;198512;46;3;56;900.7;1.4;-12.7;77.4;64.9;6048;15.2
CDF;198601;42;42;85;893.9;-2.2;-20.8;85.5;232.0;2364;6.4
CDF;198602;86;65;59;889.7;-6.2;-25.6;81.4;43.3;5417;4.6
CDF;198603;128;48;65;897.8;0.8;-13.2;79.1;87.5;7906;9.2
CDF;198604;117;9;85;892.6;2.4;-12.9;83.8;155.9;3312;13.3
CDF;198605;178;0;73;902.5;10.8;-0.1;77.8;158.5;7904;24.4
CDF;198606;220;0;56;901.7;12.6;-1.1;75.7;95.5;12561;27.5
CDF;198607;234;0;51;903.6;14.3;1.8;70.6;83.4;14116;26.8
CDF;198608;186;0;58;901.6;13.6;1.8;74.5;158.0;11084;30.2
CDF;198609;160;0;50;904.3;11.5;1.4;75.8;43.8;12085;23.6
CDF;198610;107;0;50;903.9;8.5;-4.1;78.3;124.1;10880;23.0
CDF;198611;66;1;49;904.8;3.6;-6.4;78.6;86.1;8265;14.6
CDF;198612;41;27;68;902.7;-0.6;-15.8;85.9;169.3;4522;12.2
CDF;198701;56;71;61;896.8;-6.7;-28.7;86.1;75.4;5858;6.6
CDF;198702;70;54;79;895.5;-1.3;-16.1;87.9;125.4;3640;10.0
CDF;198703;128;47;68;897.6;-1.9;-14.9;79.9;123.8;6774;9.3
CDF;198704;178;17;51;900.5;5.9;-8.8;73.2;99.0;11431;19.5
CDF;198705;173;1;70;898.8;6.2;-2.0;79.5;173.3;8418;19.1
CDF;198706;168;0;78;901.2;10.7;1.3;80.4;277.0;6338;25.8
CDF;198707;196;0;64;902.1;14.7;2.2;78.2;217.4;9611;25.9
CDF;198708;187;0;56;902.3;14.2;1.0;75.4;93.9;11299;27.9
CDF;198709;152;0;50;904.0;13.7;1.0;74.5;219.0;11381;27.9
CDF;198710;80;0;71;899.2;9.2;-0.2;76.6;105.7;5614;20.4
CDF;198711;53;7;68;898.8;2.5;-11.1;83.6;160.3;4955;17.0
CDF;198712;41;3;59;901.8;1.7;-11.2;81.4;96.2;5901;14.3
CDF;198801;41;4;74;895.6;2.0;-9.7;81.9;140.5;3915;11.4
CDF;198802;77;48;71;896.9;-1.4;-12.9;81.5;142.0;4982;10.2
CDF;198803;102;95;90;896.3;-0.3;-18.6;88.2;338.6;2895;9.9
CDF;198804;171;23;61;897.2;5.8;-7.8;77.9;66.1;8723;18.0
CDF;198805;158;0;78;897.4;10.4;2.1;79.9;121.6;6559;22.3
CDF;198806;211;0;64;899.7;12.1;2.6;78.6;142.2;10117;21.6
CDF;198807;224;0;51;902.5;14.2;4.7;76.1;112.8;13175;29.2
CDF;198808;192;0;55;901.9;14.8;3.0;76.3;149.6;12478;27.6
CDF;198809;141;0;64;903.9;11.0;1.9;80.3;122.6;8917;22.3
CDF;198810;90;0;63;901.7;9.1;-2.2;79.4;166.4;7623;22.6
CDF;198811;66;6;46;903.1;1.5;-16.2;79.2;55.1;8106;15.3
CDF;198812;39;13;70;905.6;0.2;-12.6;86.3;179.5;4441;8.9
CDF;198901;71;13;29;911.3;0.4;-9.2;74.5;30.7;11083;13.0
CDF;198902;85;18;58;902.2;1.5;-6.7;76.0;123.4;7100;11.7
CDF;198903;134;20;59;900.2;4.2;-6.8;72.5;81.7;10334;19.6
CDF;198904;113;2;85;892.2;4.0;-2.5;81.6;149.3;3837;16.5
CDF;198905;227;0;50;903.0;11.0;-0.4;68.9;77.2;14771;22.4
CDF;198906;232;0;60;901.8;11.6;0.9;71.0;49.7;12861;24.2
CDF;198907;214;0;59;904.8;15.2;3.5;74.5;94.3;11879;28.7
CDF;198908;197;0;56;902.0;14.1;2.1;76.6;141.2;12782;28.5
CDF;198909;129;0;64;903.4;10.9;0.9;81.5;66.0;8666;24.2
CDF;198910;97;0;50;904.6;8.1;-2.0;75.3;92.5;9800;22.1
CDF;198911;71;0;40;898.6;2.1;-9.0;72.0;76.0;9907;15.2
CDF;198912;49;0;36;897.4;1.8;-8.9;70.6;109.2;8743;18.6
CDF;199001;59;3;46;904.6;-0.2;-11.0;73.6;59.3;8735;10.7
CDF;199002;76;5;63;900.5;4.0;-3.5;74.5;259.8;6764;16.6
CDF;199003;140;3;60;909.1;3.7;-11.8;72.6;37.7;10521;19.7
CDF;199004;134;1;80;896.7;3.9;-3.2;78.2;103.1;5729;18.1
CDF;199005;223;0;60;902.6;11.2;0.1;72.3;147.2;13235;20.2
CDF;199006;176;0;78;900.5;11.6;2.6;81.1;257.6;7277;25.8
CDF;199007;243;0;44;904.5;15.3;1.7;70.2;53.9;15419;29.5
CDF;199008;204;0;51;905.3;15.3;2.5;68.5;47.9;14667;27.9
CDF;199009;157;0;64;902.7;10.3;0.4;77.9;150.0;10881;22.2
CDF;199010;93;0;63;898.4;9.0;-0.7;80.8;146.2;7995;22.1
CDF;199011;47;-;78;897.2;1.8;-9.5;86.0;166.0;4130;10.7
CDF;199012;43;-;73;898.6;-2.5;-12.8;84.9;95.1;4788;8.6
CDF;199101;58;-;55;904.4;-2.0;-17.3;81.0;67.4;7384;13.0
CDF;199102;98;-;58;897.4;-3.2;-22.3;79.2;23.0;8019;13.4
CDF;199103;107;-;70;896.4;4.7;-5.3;77.3;89.0;6415;15.0
CDF;199104;171;0;65;898.4;3.8;-11.7;71.9;54.0;9562;16.9
CDF;199105;199;0;69;901.4;6.2;-2.7;73.0;92.5;10976;19.9
CDF;199106;199;0;70;900.8;11.3;1.0;74.5;188.1;8583;23.4
CDF;199107;239;0;48;902.9;16.3;5.7;74.2;147.8;14846;27.4
CDF;199108;225;0;44;905.0;16.3;4.3;69.7;22.3;16969;28.7
CDF;199109;142;0;55;902.3;13.3;3.6;76.1;124.5;10180;24.1
CDF;199110;93;0;61;900.4;6.5;-6.8;79.6;117.3;7612;20.1
CDF;199111;44;1;69;898.1;2.2;-5.5;81.9;137.4;4103;14.5
CDF;199112;50;3;31;908.3;-1.8;-11.4;77.4;157.1;8439;9.1
CDF;199201;66;10;40;908.2;-2.7;-16.1;77.6;20.9;8953;9.0
CDF;199202;95;11;45;906.6;-0.4;-16.9;76.5;100.5;8015;11.0
CDF;199203;108;1;71;899.6;2.3;-4.4;79.5;149.5;5887;12.8
CDF;199204;177;0;64;896.9;5.0;-3.3;72.6;124.1;9883;21.5
CDF;199205;203;0;53;902.4;11.0;-2.9;73.9;80.6;11557;25.1
CDF;199206;184;0;73;898.6;12.1;1.3;80.4;132.2;7617;24.0
CDF;199207;210;0;56;903.6;15.5;7.2;78.5;126.3;11009;27.5
CDF;199208;206;0;49;902.8;16.9;5.3;70.8;108.3;13371;29.2
CDF;199209;140;0;58;904.4;11.5;0.0;78.6;95.7;8978;23.6
CDF;199210;61;2;88;893.4;4.9;-7.5;87.1;196.0;3037;17.2
CDF;199211;46;2;71;901.9;4.7;-13.7;82.8;270.4;4834;17.4
CDF;199212;39;0;53;900.2;0.2;-10.5;82.0;85.2;5567;9.9
CDF;199301;47;1;53;907.9;1.7;-16.1;79.2;96.8;6029;13.0
CDF;199302;101;6;35;906.8;-1.7;-19.5;71.1;29.8;10089;11.2
CDF;199303;146;4;49;902.3;1.1;-11.2;71.7;22.5;10885;17.0
CDF;199304;162;1;74;895.9;6.6;-8.6;74.5;120.0;7597;20.0
CDF;199305;191;0;73;898.8;10.5;-0.8;77.9;100.3;8980;24.9
CDF;199306;216;0;60;902.2;13.4;3.6;78.9;147.2;11140;25.4
CDF;199307;212;0;66;903.6;13.7;3.7;77.4;127.0;10245;28.3
CDF;199308;219;0;49;904.1;14.7;1.1;76.1;162.8;14830;27.3
CDF;199309;114;0;73;897.9;10.1;-0.7;82.6;239.5;6220;23.7
CDF;199310;64;0;76;897.3;6.1;-3.5;82.9;195.6;4585;17.6
CDF;199311;62;4;53;899.9;-0.1;-17.3;79.3;35.7;6255;15.6
CDF;199312;30;16;94;896.7;1.2;-10.1;85.8;211.8;1052;10.9
CDF;199401;45;7;75;898.6;-0.8;-19.2;82.9;219.2;4212;7.7
CDF;199402;74;8;74;895.8;0.1;-12.4;79.3;77.4;3875;11.9
CDF;199403;111;0;75;903.8;5.6;-3.9;76.2;120.0;6758;17.9
CDF;199404;143;7;81;895.5;3.4;-7.1;82.6;168.6;5906;19.6
CDF;199405;166;0;73;898.1;10.1;2.2;79.5;191.7;7571;20.4
CDF;199406;226;0;66;904.4;13.4;0.0;76.5;89.3;11521;26.4
CDF;199407;236;0;51;903.8;17.8;5.6;73.4;126.1;13914;30.0
CDF;199408;196;0;53;902.3;16.1;5.2;75.8;85.3;12702;27.7
CDF;199409;110;0;78;900.2;10.9;0.7;83.4;192.8;5467;24.4
CDF;199410;96;0;58;900.5;8.1;-4.6;76.8;116.8;8901;20.7
CDF;199411;54;0;63;903.6;6.1;-2.4;84.9;53.9;5993;16.5
CDF;199412;35;2;76;903.7;1.4;-8.2;83.4;185.5;3777;10.2
CDF;199501;47;47;70;899.8;-2.2;-19.8;79.4;279.7;4366;6.9
CDF;199502;72;9;76;899.5;1.9;-8.5;83.2;185.1;4670;12.1
CDF;199503;136;10;60;898.1;0.1;-14.2;73.7;206.8;8548;12.8
CDF;199504;152;1;69;899.5;5.3;-2.7;78.2;62.0;8223;18.0
CDF;199505;200;0;59;900.0;9.6;-4.0;73.0;197.4;11321;21.8
CDF;199506;198;0;65;901.3;11.3;1.0;77.6;67.7;8919;25.2
CDF;199507;233;0;54;902.7;17.1;7.1;76.1;131.2;14512;30.0
CDF;199508;177;0;64;902.6;14.6;0.8;78.5;141.4;10785;25.9
CDF;199509;116;0;73;899.1;8.8;-3.5;82.2;164.4;5998;19.6
CDF;199510;104;0;49;906.7;10.9;0.9;81.1;22.3;9649;23.1
CDF;199511;59;2;54;900.6;2.3;-16.0;77.7;127.2;6567;18.1
CDF;199512;35;5;75;896.0;0.0;-13.9;81.1;160.0;3307;10.2
CDF;199601;59;0;38;894.6;1.5;-8.8;74.8;24.3;8577;11.6
CDF;199602;78;30;71;894.1;-2.8;-20.0;79.2;65.8;5015;7.4
