stn;time;gre000m0;hto000m0;nto000m0;prestam0;sre000m0;rre150m0;tre200mn;tre200m0;tre200mx;ure200m0
GVE;199610;94;0;71;970.4;7570;46.9;-1.1;10.7;21.6;78.0
GVE;199611;49;0;76;965.8;4111;166.1;-3.6;5.8;17.6;79.9
GVE;199612;28;0;84;964.0;1949;114.6;-7.3;2.3;10.7;84.5
GVE;199701;24;5;96;972.0;145;78.2;-4.0;0.7;5.2;88.9
GVE;199702;82;0;64;976.6;7137;45.0;-4.0;5.2;14.9;72.8
GVE;199703;156;0;43;975.8;12929;6.4;-2.0;7.9;21.8;68.0
GVE;199704;233;0;40;969.8;17397;42.1;-1.6;9.7;21.9;55.6
GVE;199705;231;0;60;967.2;14476;116.9;4.2;14.5;26.5;68.8
GVE;199706;199;0;75;963.8;9493;164.0;6.5;16.9;30.3;71.4
GVE;199707;222;0;61;970.1;14368;139.7;9.9;18.3;28.6;73.1
GVE;199708;213;0;53;969.3;15216;54.2;10.2;20.9;30.5;71.4
GVE;199709;172;0;49;972.6;14112;45.3;6.4;16.7;29.2;76.2
GVE;199710;95;0;59;969.4;8480;59.4;-4.7;10.8;25.4;77.5
GVE;199711;47;0;74;962.4;3404;92.4;-3.4;6.1;14.3;83.6
GVE;199712;32;0;74;966.7;2786;88.5;-4.2;3.6;13.6;80.5
GVE;199801;40;0;73;971.1;4107;88.1;-2.8;3.2;13.7;77.4
GVE;199802;99;0;41;977.5;10095;13.5;-6.6;4.0;18.0;74.3
GVE;199803;145;0;55;974.2;11691;19.8;-3.9;7.1;22.4;61.4
GVE;199804;144;0;77;959.4;6911;115.0;-2.1;9.3;21.9;70.6
GVE;199805;254;0;44;966.6;17627;19.0;3.8;15.8;27.8;61.0
GVE;199806;243;0;63;969.7;14543;67.8;5.2;18.4;32.0;65.4
GVE;199807;246;0;57;967.6;15918;76.5;9.1;21.1;34.5;58.9
GVE;199808;209;0;44;970.1;16253;29.8;7.1;20.0;36.1;62.8
GVE;199809;128;0;70;965.9;7202;172.9;5.3;14.9;29.3;76.1
GVE;199810;87;0;74;969.3;6413;106.4;1.8;11.3;20.6;76.6
GVE;199811;56;0;65;970.6;5180;83.7;-7.4;3.4;14.5;77.8
GVE;199812;41;0;69;974.4;4904;33.0;-9.4;1.4;13.3;81.1
GVE;199901;44;0;77;970.5;3782;58.2;-4.6;2.6;12.7;80.2
GVE;199902;65;1;79;970.4;3977;108.9;-6.2;1.7;12.9;75.9
GVE;199903;128;0;66;965.2;8463;74.7;-2.0;7.1;17.1;70.1
GVE;199904;165;0;76;967.0;8889;116.9;0.5;9.7;22.8;72.0
GVE;199905;201;0;67;967.6;11457;82.6;7.6;16.7;29.1;72.5
GVE;199906;251;0;56;970.2;14649;97.5;7.8;17.1;29.3;66.3
GVE;199907;270;0;52;968.2;18120;87.0;12.2;21.0;32.7;63.7
GVE;199908;199;0;63;966.7;12727;122.8;10.4;19.9;31.1;70.7
GVE;199909;157;0;59;965.9;11433;152.6;9.9;18.2;28.9;72.7
GVE;199910;78;0;78;969.6;5161;134.9;2.7;11.4;18.5;81.2
GVE;199911;42;0;80;972.9;2691;62.2;-4.5;4.4;19.7;77.7
GVE;199912;41;0;73;968.9;4241;132.3;-5.7;3.5;12.7;74.4
GVE;200001;48;1;67;977.3;4735;19.2;-9.3;1.3;11.8;79.8
GVE;200002;82;0;68;976.4;6657;95.7;-3.6;4.9;16.2;75.3
GVE;200003;147;0;54;972.2;11558;44.2;-2.9;7.1;19.9;66.7
GVE;200004;178;0;68;960.6;10261;78.8;0.1;10.8;26.1;67.2
GVE;200005;233;0;58;968.4;14085;52.7;6.5;16.5;28.3;65.2
GVE;200006;271;0;42;971.7;17449;23.1;8.4;19.8;31.8;59.2
GVE;200007;226;0;60;967.0;13442;120.6;7.8;18.5;34.9;63.5
GVE;200008;209;0;47;970.3;15602;109.2;11.7;20.7;34.1;66.4
GVE;200009;169;0;48;967.8;14230;105.4;7.8;16.8;29.7;69.8
GVE;200010;89;0;71;968.1;6592;130.5;2.6;12.2;20.5;76.1
GVE;200011;45;0;76;962.8;3378;148.7;-1.6;7.3;17.7;78.4
GVE;200012;34;0;81;965.9;2931;67.9;-4.3;5.3;13.6;79.7
GVE;200101;40;0;83;965.8;3051;146.4;-5.2;3.4;11.7;81.4
GVE;200102;89;0;62;970.3;6837;44.2;-6.7;4.8;15.9;67.7
GVE;200103;96;0;82;960.6;4672;282.1;-1.5;9.0;22.2;78.0
GVE;200104;166;0;76;966.5;8627;113.7;0.3;8.5;20.9;70.3
GVE;200105;232;0;64;967.4;13374;73.5;4.8;16.3;30.6;69.9
GVE;200106;256;0;54;969.9;15716;126.9;3.5;17.2;30.4;66.8
GVE;200107;242;0;56;968.2;14883;107.8;7.5;20.1;31.9;67.9
GVE;200108;213;0;49;969.7;15027;72.5;8.8;20.4;32.1;70.0
GVE;200109;141;0;69;968.1;9052;96.6;2.6;13.1;24.6;75.9
GVE;200110;114;0;58;971.9;10379;80.4;5.8;14.1;25.9;82.9
GVE;200111;49;0;77;973.6;3524;34.6;-3.5;4.3;12.4;79.2
GVE;200112;37;0;76;974.1;3745;38.6;-8.3;1.6;12.0;74.4
GVE;200201;46;1;79;978.5;4404;44.0;-8.8;1.4;15.5;83.6
GVE;200202;73;0;73;970.7;5280;79.1;-4.1;6.3;16.4;74.9
GVE;200203;147;0;55;970.1;11387;57.2;-1.9;7.8;20.7;68.4
GVE;200204;196;0;58;965.7;12927;22.6;-1.3;10.5;22.4;61.7
GVE;200205;193;0;72;966.8;10903;149.0;4.1;13.4;27.5;72.3
GVE;200206;264;0;54;968.7;16530;63.8;7.3;20.5;35.3;62.5
GVE;200207;235;0;53;967.8;14867;117.8;8.4;19.9;30.8;66.7
GVE;200208;192;0;58;967.6;11956;89.9;10.7;18.6;30.1;74.3
GVE;200209;151;0;62;969.1;9666;29.0;2.7;15.1;25.9;73.7
GVE;200210;97;0;68;967.7;8361;138.0;0.6;11.6;23.3;76.9
GVE;200211;43;0;79;963.8;2682;295.3;0.3;7.8;17.2;86.9
GVE;200212;21;0;93;968.1;442;80.7;0.1;5.6;11.4;85.0
GVE;200301;41;0;78;968.8;3139;79.7;-10.1;1.6;16.2;78.6
GVE;200302;77;0;68;971.5;5352;22.4;-8.8;0.3;14.1;73.1
GVE;200303;165;0;43;973.9;14661;17.2;-1.8;8.2;20.3;62.1
GVE;200304;202;0;55;966.7;13346;59.0;-3.1;10.9;23.4;60.1
GVE;200305;224;0;62;970.3;12842;30.5;2.2;15.9;29.5;65.3
GVE;200306;289;0;46;968.5;19450;45.4;13.8;24.1;36.5;56.5
GVE;200307;258;0;44;968.9;17789;41.3;10.6;22.5;37.8;55.2
GVE;200308;231;0;40;969.5;17676;110.3;11.1;24.0;37.6;56.1
GVE;200309;174;0;49;972.2;14032;74.2;6.5;15.9;26.8;69.8
GVE;200310;84;0;72;965.6;5647;174.7;-3.6;8.8;20.3;79.5
GVE;200311;54;0;70;969.4;5048;53.8;-0.6;6.0;13.1;87.1
GVE;200312;42;0;65;971.0;5337;28.4;-7.0;3.0;11.4;77.6
GVE;200401;44;1;81;965.4;3755;139.0;-10.5;2.7;15.0;79.4
GVE;200402;88;0;65;971.3;8328;27.5;-5.8;3.4;16.8;69.4
GVE;200403;130;0;59;971.7;9275;59.3;-4.5;5.5;21.1;69.5
GVE;200404;185;0;69;964.4;10594;31.6;0.3;10.6;22.1;64.4
GVE;200405;238;0;53;966.1;14930;43.8;4.3;13.8;28.5;62.7
GVE;200406;255;0;52;970.2;16223;61.0;9.0;18.8;32.8;60.2
GVE;200407;244;0;53;969.4;15587;88.3;8.2;20.0;31.2;62.3
GVE;200408;206;0;59;967.0;14097;205.9;9.8;20.1;32.7;68.4
GVE;200409;176;0;44;972.4;14181;23.7;6.8;16.8;28.5;70.2
GVE;200410;82;0;73;964.8;6031;212.8;6.6;13.6;26.3;79.7
GVE;200411;58;0;65;972.3;5660;39.0;-4.3;5.9;16.1;75.8
GVE;200412;27;0;87;971.7;1518;57.6;-5.2;2.9;10.2;80.4
GVE;200501;56;2;58;975.8;6386;48.0;-10.6;1.3;13.6;78.4
GVE;200502;86;0;64;969.0;6451;35.3;-7.8;0.6;10.8;72.1
GVE;200503;146;1;57;968.6;10938;39.7;-9.8;6.8;21.0;68.9
GVE;200504;164;0;73;966.2;9650;119.7;1.4;10.5;26.4;65.8
GVE;200505;221;0;64;969.2;13658;76.3;4.8;15.3;30.6;63.6
GVE;200506;280;0;49;970.1;18924;52.2;6.9;20.5;33.6;58.1
GVE;200507;245;0;48;968.4;17049;65.8;8.7;20.9;36.2;59.4
GVE;200508;192;0;60;969.2;12428;75.9;9.3;18.6;29.5;67.0
GVE;200509;157;0;60;969.9;11265;65.5;4.4;16.9;30.2;72.4
GVE;200510;99;0;55;971.1;8833;66.3;4.6;11.7;19.9;83.0
GVE;200511;65;1;58;969.0;7062;36.7;-9.6;4.8;20.2;78.6
GVE;200512;35;0;75;969.5;3202;64.9;-11.4;0.4;8.8;78.8
GVE;200601;51;0;69;973.3;5469;23.1;-8.6;0.3;9.5;79.4
GVE;200602;70;0;77;965.8;3942;72.1;-7.2;1.4;12.6;76.8
GVE;200603;115;1;72;963.8;6335;138.1;-9.3;5.1;22.7;72.6
GVE;200604;189;0;57;966.6;11950;116.7;-1.6;10.2;21.9;67.4
GVE;200605;208;0;76;969.4;11510;99.3;1.8;14.5;26.6;68.1
GVE;200606;286;0;44;971.0;18970;49.9;3.2;19.5;31.1;58.1
GVE;200607;261;0;44;970.5;18580;48.0;13.8;23.7;35.3;61.6
GVE;200608;190;0;65;966.3;11225;137.0;6.3;16.8;27.4;69.6
GVE;200609;159;0;60;967.8;11578;60.9;7.4;18.0;29.7;76.9
GVE;200610;100;0;64;967.8;8830;105.2;4.9;13.6;23.6;80.5
GVE;200611;64;0;62;971.8;6834;59.8;-2.7;7.7;19.4;78.0
GVE;200612;38;0;71;976.6;4113;58.5;-5.4;3.4;14.8;80.4
GVE;200701;53;1;64;974.3;5435;76.3;-11.2;4.3;15.4;81.0
GVE;200702;74;0;66;965.4;6161;103.0;-3.7;5.6;14.9;77.2
GVE;200703;140;0;56;967.4;10567;79.2;-1.9;6.7;17.0;69.1
GVE;200704;229;0;39;969.0;17157;23.1;1.3;14.3;25.9;60.6
GVE;200705;212;0;65;964.8;11780;120.9;3.6;15.3;30.7;70.0
GVE;200706;246;0;63;965.7;13707;170.7;7.6;18.6;30.3;69.3
GVE;200707;231;0;52;968.2;14271;132.1;8.5;18.9;31.0;66.9
GVE;200708;200;0;54;967.2;13425;152.8;9.7;18.7;32.1;71.3
GVE;200709;183;0;47;970.9;14633;88.3;5.4;14.7;26.6;70.8
GVE;200710;103;0;62;972.3;8670;17.4;2.9;10.8;21.0;75.9
GVE;200711;61;0;58;970.9;6350;69.0;-4.2;4.2;14.1;76.0
GVE;200712;31;0;79;975.0;2449;88.3;-6.5;2.3;11.5;79.1
GVE;200801;57;0;61;972.5;6743;74.6;-5.5;3.8;13.1;79.2
GVE;200802;101;0;41;977.4;10375;29.8;-5.5;3.9;15.8;73.9
GVE;200803;132;0;68;962.2;8401;79.2;-4.8;6.0;18.8;64.0
GVE;200804;174;0;70;963.1;10013;144.2;-0.5;9.2;22.9;68.6
GVE;200805;215;0;71;964.7;12183;79.9;5.2;15.8;24.9;68.3
GVE;200806;231;0;55;968.1;13032;60.3;7.4;18.5;32.2;68.4
GVE;200807;255;0;47;968.2;17106;113.2;10.4;20.0;32.1;63.9
GVE;200808;213;0;54;967.6;15048;90.6;8.1;19.3;30.4;68.7
GVE;200809;143;0;62;968.5;9636;214.6;3.6;14.1;27.0;74.0
GVE;200810;90;0;71;970.1;6919;86.8;0.6;11.2;22.1;79.4
GVE;200811;58;0;69;966.7;5070;43.6;-4.7;6.3;15.2;78.0
GVE;200812;36;2;73;968.8;3056;118.1;-8.1;1.6;8.9;80.7
GVE;200901;36;1;84;965.5;2121;68.9;-7.9;-0.2;9.8;80.6
GVE;200902;92;0;67;965.8;6929;54.4;-6.0;1.8;12.8;74.3
GVE;200903;143;0;62;967.0;10260;49.6;-3.4;6.3;17.0;64.8
GVE;200904;206;0;58;964.5;13949;36.0;3.6;12.4;22.4;63.8
GVE;200905;245;0;56;970.1;15448;28.9;4.5;17.0;33.8;61.7
GVE;200906;275;0;55;967.6;15451;93.6;9.1;18.2;31.0;64.9
GVE;200907;259;0;53;968.9;15115;84.0;9.6;20.5;32.1;63.2
GVE;200908;251;0;40;970.0;17309;66.5;9.9;21.2;36.2;64.6
GVE;200909;167;0;57;971.0;10760;61.7;6.6;16.6;28.1;75.2
GVE;200910;110;0;56;969.8;8908;38.4;-2.1;10.6;26.8;74.8
GVE;200911;45;0;79;965.1;2348;149.7;-2.5;7.8;18.2;84.4
GVE;200912;33;0;81;960.8;2258;154.7;-12.6;2.3;11.0;81.3
GVE;201001;43;3;81;964.8;2814;47.1;-9.0;-0.4;8.7;82.3
GVE;201002;70;1;81;957.8;3037;96.5;-9.3;2.0;14.0;76.6
GVE;201003;137;0;69;968.2;8739;61.4;-6.2;5.6;21.0;66.0
GVE;201004;219;0;55;969.0;13234;21.8;-0.6;11.0;26.8;61.7
GVE;201005;197;0;73;965.3;7781;108.0;3.6;13.0;28.6;71.2
GVE;201006;245;0;62;966.2;12414;77.2;6.1;17.6;29.8;71.6
GVE;201007;282;0;46;969.6;18280;13.5;9.2;22.1;35.6;60.2
GVE;201008;211;0;57;968.7;12602;122.1;7.4;18.7;31.9;70.6
GVE;201009;177;0;56;968.1;12167;36.2;2.2;14.4;25.8;73.3
GVE;201010;97;0;70;965.9;7189;31.0;-1.5;10.1;23.5;77.1
GVE;201011;56;1;77;960.4;4294;101.8;-9.2;6.3;19.5;80.4
GVE;201012;40;6;74;963.9;4066;95.4;-10.8;0.3;14.4;82.5
GVE;201101;52;0;66;970.5;5088;44.5;-5.9;2.5;15.6;78.1
GVE;201102;88;0;62;969.9;6908;16.3;-6.8;3.1;14.9;77.8
GVE;201103;150;0;57;971.2;10710;20.5;-3.8;7.2;20.4;67.9
GVE;201104;249;0;42;969.1;17188;20.1;1.1;13.2;24.4;60.6
GVE;201105;271;0;51;970.3;17146;36.1;3.3;16.3;30.0;62.9
GVE;201106;241;0;64;969.3;11487;64.7;7.3;17.8;33.3;67.9
GVE;201107;251;0;56;966.2;14126;102.1;7.5;17.8;30.9;66.2
GVE;201108;243;0;47;968.4;15552;70.5;7.5;20.2;34.2;67.3
GVE;201109;182;0;50;970.8;13433;44.5;6.1;17.2;29.7;77.1
GVE;201110;115;0;57;973.1;9453;36.0;-0.1;11.0;23.6;81.3
GVE;201111;54;0;71;972.4;4633;18.9;-2.4;6.5;16.3;87.6
GVE;201112;37;0;74;971.9;3283;144.8;-5.0;4.2;15.8;83.4
GVE;201201;43;0;70;975.3;3667;82.4;-7.8;2.9;11.0;82.3
GVE;201202;104;0;48;975.4;8525;0.4;-11.4;-2.1;13.9;66.8
GVE;201203;187;0;34;976.4;15940;13.7;-3.5;8.6;22.0;61.5
GVE;201204;166;0;76;958.5;6742;112.2;-0.9;10.2;26.1;68.7
GVE;201205;262;0;58;967.7;15075;76.4;1.2;15.1;30.0;66.7
GVE;201206;261;0;59;967.6;13802;95.0;7.0;19.1;33.0;67.5
GVE;201207;260;0;51;968.9;16044;45.8;7.9;19.8;34.5;63.1
GVE;201208;235;0;48;969.8;16442;81.7;8.9;20.7;34.5;67.7
GVE;201209;149;0;66;968.7;9005;77.5;3.8;15.5;28.9;76.2
GVE;201210;89;0;70;965.6;5701;49.8;-2.6;11.2;23.1;81.4
GVE;201211;45;0;82;966.1;2993;180.7;-0.6;7.0;16.7;83.8
GVE;201212;32;2;75;968.2;2361;154.7;-8.3;3.0;12.9;81.9
GVE;201301;44;2;72;967.2;3991;51.8;-7.6;1.3;11.9;81.3
GVE;201302;80;4;74;965.7;4115;60.7;-10.0;0.4;9.8;74.8
GVE;201303;105;0;77;958.5;5524;77.9;-6.3;4.2;14.5;74.6
GVE;201304;175;0;69;966.3;8347;106.8;0.3;10.3;25.5;70.1
GVE;201305;190;0;79;964.7;7167;112.6;2.3;11.5;23.6;74.4
GVE;201306;265;0;58;970.0;13402;55.4;7.5;17.0;31.5;69.5
GVE;201307;288;0;40;970.8;18717;126.3;9.9;21.5;34.3;67.0
GVE;201308;253;0;38;970.1;17594;36.2;9.8;20.0;32.7;67.3
GVE;201309;175;0;59;969.3;11298;70.0;7.5;15.9;30.1;75.7
GVE;201310;88;0;74;969.7;5124;139.8;2.6;12.8;22.7;83.0
GVE;201311;53;0;74;967.9;3995;108.4;-5.2;5.9;18.8;76.4
GVE;201312;39;0;70;975.2;4083;101.4;-6.6;1.5;15.1;86.8
GVE;201401;47;0;74;963.3;3722;92.6;-3.8;4.1;12.9;83.2
GVE;201402;72;0;76;963.1;4578;121.2;-3.5;4.8;15.0;80.0
GVE;201403;168;0;51;968.4;12789;39.3;-1.2;7.8;22.5;68.2
GVE;201404;205;0;57;966.2;11762;60.1;0.9;11.8;23.6;66.5
GVE;201405;239;0;64;968.2;11713;73.4;2.7;13.5;25.3;67.5
GVE;201406;291;0;51;968.4;17647;54.6;7.3;19.1;33.4;62.4
GVE;201407;203;0;71;967.5;9633;175.5;8.9;18.4;30.7;77.4
GVE;201408;214;0;63;967.9;11317;52.8;8.3;18.0;29.2;71.2
GVE;201409;189;0;54;969.6;13020;40.1;6.8;16.7;28.4;75.1
GVE;201410;112;0;59;970.1;8830;141.7;2.5;13.7;24.6;81.0
GVE;201411;41;0;81;964.0;2806;107.6;1.6;8.2;18.0;86.3
GVE;201412;40;0;71;972.7;3797;45.7;-4.1;4.3;13.9;79.0
GVE;201501;42;1;71;971.4;3265;80.6;-5.9;2.6;15.9;80.0
GVE;201502;78;1;66;967.4;4920;52.2;-5.7;1.7;11.9;76.0
GVE;201503;141;0;61;971.6;9667;52.0;-2.7;7.3;17.7;67.4
GVE;201504;214;0;54;971.8;12522;63.5;-0.8;11.2;23.5;60.3
GVE;201505;243;0;61;968.9;14072;96.1;5.9;15.3;30.0;64.5
GVE;201506;289;0;56;970.7;15806;44.9;8.7;19.9;32.0;62.7
GVE;201507;300;0;36;969.0;19895;28.7;10.6;24.2;39.7;51.4
GVE;201508;223;0;51;968.7;13777;63.4;9.6;20.8;35.8;66.4
GVE;201509;169;0;55;969.2;9974;117.8;4.6;14.8;26.8;70.0
GVE;201510;92;0;77;969.3;5403;35.6;1.7;10.1;18.5;82.0
GVE;201511;66;0;62;974.8;6757;37.3;-4.2;7.1;20.0;83.1
GVE;201512;37;0;75;981.3;3669;13.4;-3.5;3.9;13.0;91.2
GVE;201601;45;0;79;968.4;3374;165.5;-4.3;4.2;13.0;82.9
GVE;201602;62;0;80;965.9;2599;81.7;-2.6;5.0;17.4;77.1
GVE;201603;143;0;60;965.3;9364;38.9;-4.2;5.7;20.1;70.2
GVE;201604;170;0;74;965.0;7829;93.5;-0.4;10.0;21.1;69.5
GVE;201605;230;0;66;966.0;11266;76.7;2.0;13.3;27.5;71.2
GVE;201606;246;0;63;967.8;11465;132.6;8.6;17.7;32.0;73.3
GVE;201607;282;0;43;970.8;18074;63.3;8.1;20.8;33.5;66.3
GVE;201608;250;0;39;972.1;17245;21.2;8.4;20.4;33.5;64.2
GVE;201609;189;0;50;971.1;13700;33.2;7.6;18.0;30.2;70.4
GVE;201610;97;0;66;971.6;7338;89.7;0.1;9.9;19.6;79.4
GVE;201611;54;0;75;968.0;4335;89.0;-3.6;6.2;16.5;81.9
GVE;201612;34;0;78;981.4;2652;0.2;-5.8;1.4;10.0;90.3
GVE;201701;41;1;81;974.0;2439;25.4;-7.5;-1.2;7.8;81.0
GVE;201702;87;0;69;969.8;6281;51.6;-3.9;4.8;19.3;78.2
GVE;201703;152;0;68;969.9;10231;56.7;-1.6;8.7;21.5;73.0
GVE;201704;238;0;41;970.7;15660;40.0;-0.8;10.5;25.0;61.5
GVE;201705;249;0;62;969.2;14522;80.9;3.0;15.0;30.8;71.9
GVE;201706;289;0;49;968.3;16809;77.3;7.1;20.9;34.3;66.4
GVE;201707;264;0;61;969.3;14749;40.4;12.2;21.4;34.0;63.9
GVE;201708;232;0;55;970.4;15233;62.1;9.5;21.2;36.5;66.6
GVE;201709;170;0;65;969.5;10650;43.8;3.9;14.1;27.5;75.1
GVE;201710;131;0;50;974.8;11998;18.0;0.9;11.8;23.5;76.5
GVE;201711;56;0;74;970.1;4493;63.8;-2.8;5.7;17.1;77.8
GVE;201712;34;0;79;970.5;2322;133.0;-4.9;2.5;10.9;84.0
GVE;201801;36;0;86;969.6;2053;173.5;-1.4;6.0;13.7;84.4
GVE;201802;68;0;81;965.2;3604;28.9;-8.9;1.2;10.1;73.2
GVE;201803;118;2;75;956.8;5572;105.4;-3.4;5.3;15.5;79.2
GVE;201804;220;0;56;965.5;12848;19.0;-1.0;13.3;27.5;64.5
GVE;201805;230;0;66;966.7;11240;97.5;6.3;15.5;26.2;75.8
GVE;201806;305;0;49;968.2;17744;93.3;11.1;19.7;30.8;67.7
GVE;201807;304;0;41;968.0;20088;49.0;11.3;22.3;33.4;63.0
GVE;201808;245;0;48;969.9;16626;62.5;8.3;21.7;34.8;65.2
GVE;201809;200;0;42;972.9;14932;22.3;5.3;17.9;31.4;66.8
GVE;201810;114;0;54;969.0;10361;27.9;1.8;12.3;23.1;75.3
GVE;201811;40;0;87;968.1;1631;72.6;-0.7;6.9;15.7;89.0
GVE;201812;34;0;81;974.6;2031;112.4;-3.6;4.9;14.4;86.0